dbn,school_name,school_type,enrollment,rigorous_instruction,collab_teachers,support_environ,effective_school_leadership,strong_fam_community_ties,trust,english_language_learners,students_disabilities,self_contained,economic_need_index,temp_housing,hra_eligible,asian,black,hispanic,white,teachers_3_or_more_yrs_exp,student_attendance_rate,chronically_absent,teacher_attendance_rate
23K155,P.S./ I.S. 155 Nicholas Herkimer,K-8,379,0.86,0.95,0.77,0.93,0.95,0.92,0.203,0.248,0.111,0.943,0.298,0.894,0.024,0.483,0.47,0.016,0.853,0.882,0.493,0.942
23K156,P.S. 156 Waverly,Elementary,592,0.77,0.76,0.68,0.75,0.91,0.82,0.019,0.236,0.095,0.893,0.235,0.823,0.01,0.791,0.182,0.005,0.722,0.894,0.406,0.954
23K165,P.S. 165 Ida Posner,Elementary,159,0.85,0.91,0.88,0.87,0.94,0.92,0.019,0.384,0.138,0.973,0.314,0.962,0,0.786,0.17,0.038,0.778,0.888,0.392,0.968
23K178,P.S. 178 Saint Clair Mckelway,K-8,265,0.84,0.95,0.76,0.95,1,0.97,0.075,0.234,0.102,0.906,0.291,0.834,0.023,0.751,0.166,0.038,0.923,0.872,0.492,0.963
23K184,P.S. 184 Newport,K-8,506,0.8,0.77,0.76,0.79,0.92,0.84,0.04,0.296,0.176,0.949,0.219,0.877,0.002,0.7,0.273,0.012,0.889,0.882,0.478,0.94
23K284,"The Gregory Jocko Jackson School of Sports, Art, a",Elementary,238,0.78,0.84,0.7,0.84,0.97,0.92,0.076,0.273,0.067,0.976,0.214,0.941,0.004,0.651,0.336,0,0.793,0.903,0.385,0.964
23K298,P.S. 298 Dr. Betty Shabazz,Elementary,216,0.71,0.81,0.69,0.81,0.96,0.83,0.093,0.319,0.088,0.987,0.315,0.94,0.023,0.667,0.264,0.019,0.684,0.91,0.317,0.943
23K323,P.S./I.S. 323,K-8,548,0.77,0.79,0.69,0.77,0.93,0.85,0.057,0.224,0.102,0.937,0.276,0.883,0.024,0.741,0.212,0.011,0.676,0.884,0.432,0.962
23K327,P.S. 327 Dr. Rose B. English,Elementary,222,0.83,0.91,0.82,0.91,0.99,0.94,0.09,0.36,0.149,0.951,0.297,0.914,0.023,0.644,0.275,0.027,0.515,0.878,0.48,0.971
23K363,Brownsville Collaborative Middle School,Middle,278,0.8,0.74,0.77,0.73,0.91,0.78,0.112,0.367,0.115,0.961,0.295,0.885,0.004,0.691,0.277,0.018,0.421,0.863,0.517,0.974
